,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
1033,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.89,1.0,1.0,1,0.5056666666666666
34,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3492063492063492,0.881,0.0,0.0,0.0,1,0.5055603174603175
236,1.0,1.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,1,0.5055555555555555
266,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.0,0.0,1.0,1.0,1,0.5055555555555555
1007,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,1,0.5055555555555555
891,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,1,0.5055555555555555
84,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.09523809523809523,0.0,0.0,1.0,1.0,1,0.5047619047619047
869,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.766,0.8428571428571429,1.0,0.0,1,0.5037428571428572
474,0.6666666666666666,0.3333333333333333,0.0,0.0,0.1746031746031746,0.0,0.9339999999999999,1.0,1.0,1,0.5021301587301586
248,1.0,1.0,0.0,0.0,0.31746031746031744,0.86,0.0,1.0,0.0,1,0.5018730158730159
906,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.95,1.0,1.0,1,0.5005555555555555
402,0.6666666666666666,0.3333333333333333,0.0,0.0,0.23809523809523808,0.8779999999999999,0.0,1.0,1.0,1,0.4997047619047619
740,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3492063492063492,0.0,0.82,1.0,1.0,1,0.4994603174603174
1025,1.0,1.0,1.0,0.0,0.5873015873015872,0.0,0.7,0.0,0.0,1,0.49936507936507946
872,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.851,1.0,1.0,1,0.49621111111111105
